,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment
386,That girl....,,1.0,102.txt,"['That', 'girl']","['That', 'girl']","['That', 'girl']",2.0,0.0
387,gestures and the same,,1.0,102.txt,['gestures'],['gestur'],['gestur'],1.0,0.0
388,"Picard leaps in, keeps her frozen, rigid form from crashing down.",,1.0,102.txt,"['Picard', 'leaps', 'keeps', 'frozen', 'rigid', 'form', 'crashing']","['Picard', 'leap', 'keep', 'frozen', 'rigid', 'form', 'crash']","['Picard', 'leap', 'keep', 'frozen', 'rigid', 'form', 'crash']",7.0,-0.4939
389,"Criminals keep silence bending over Tasha, then to You've got a lot to learn about humans if you think you can torture us or frighten us into silence.","MANDARINBAILIFF ANGLE ON PICARD ""Q"": PICARD",1.0,102.txt,"['Criminals', 'keep', 'silence', 'bending', 'Tasha', 'Youve', 'got', 'lot', 'learn', 'humans', 'think', 'torture', 'us', 'frighten', 'us', 'silence']","['Crimin', 'keep', 'silenc', 'bend', 'Tasha', 'Youv', 'got', 'lot', 'learn', 'human', 'think', 'tortur', 'us', 'frighten', 'us', 'silenc']","['Crimin', 'keep', 'silenc', 'bend', 'Tasha', 'Youv', 'got', 'lot', 'learn', 'human', 'think', 'tortur', 'u', 'frighten', 'u', 'silenc']",16.0,-0.34
390,(to Data) Are they still alive?,"MANDARINBAILIFF ANGLE ON PICARD ""Q"": PICARD",1.0,102.txt,"['Data', 'Are', 'still', 'alive']","['Data', 'Are', 'still', 'aliv']","['Data', 'Are', 'still', 'aliv']",4.0,0.0
391,Uncertain.,DATA,1.0,102.txt,['Uncertain'],['Uncertain'],['Uncertain'],1.0,-0.296
392,"Lieutenant Graham was when our medics thawed him out glides in closer on his ""bench"".",DATA,1.0,102.txt,"['Lieutenant', 'Graham', 'medics', 'thawed', 'glides', 'closer', 'bench']","['Lieuten', 'Graham', 'medic', 'thaw', 'glide', 'closer', 'bench']","['Lieuten', 'Graham', 'medic', 'thaw', 'glide', 'closer', 'bench']",7.0,0.0
393,You will answer the charges!,DATA,1.0,102.txt,"['You', 'answer', 'charges']","['You', 'answer', 'charg']","['You', 'answer', 'charg']",3.0,0.0
394,Or what?,PICARD,1.0,102.txt,['Or'],['Or'],['Or'],1.0,0.0
395,"Or this, or worse?",PICARD,1.0,102.txt,"['Or', 'worse']","['Or', 'wors']","['Or', 'wors']",2.0,0.0
396,Or death?,PICARD,1.0,102.txt,"['Or', 'death']","['Or', 'death']","['Or', 'death']",2.0,-0.5994
397,suggest you take a better look at human history.,,1.0,102.txt,"['suggest', 'take', 'better', 'look', 'human', 'history']","['suggest', 'take', 'better', 'look', 'human', 'histori']","['suggest', 'take', 'better', 'look', 'human', 'histori']",6.0,0.4404
398,Spectators have begun over Picard's failure to answer,,1.0,102.txt,"['Spectators', 'begun', 'Picards', 'failure', 'answer']","['Spectat', 'begun', 'Picard', 'failur', 'answer']","['Spectat', 'begun', 'Picard', 'failur', 'answer']",5.0,0.0
399,"You are charged, criminals.",,1.0,102.txt,"['You', 'charged', 'criminals']","['You', 'charg', 'crimin']","['You', 'charg', 'crimin']",3.0,0.0
400,How plead you?,,1.0,102.txt,"['How', 'plead']","['How', 'plead']","['How', 'plead']",2.0,0.0
401,"Just a moment ago, you promised ""the prisoners will not be harmed."" We plead nothing so long as you break your own rules.",PICARD,1.0,102.txt,"['Just', 'moment', 'ago', 'promised', 'prisoners', 'harmed', 'We', 'plead', 'nothing', 'long', 'break', 'rules']","['Just', 'moment', 'ago', 'promis', 'prison', 'harm', 'We', 'plead', 'noth', 'long', 'break', 'rule']","['Just', 'moment', 'ago', 'promis', 'prison', 'harm', 'We', 'plead', 'noth', 'long', 'break', 'rule']",12.0,-0.7783
402,from the Spectators now.,LOUDER GRUMBLING,1.0,102.txt,['Spectators'],['Spectat'],['Spectat'],1.0,0.0
403,"suggest you center your attention on the trial, Captain.",LOUDER GRUMBLING,1.0,102.txt,"['suggest', 'center', 'attention', 'trial', 'Captain']","['suggest', 'center', 'attent', 'trial', 'Captain']","['suggest', 'center', 'attent', 'trial', 'Captain']",5.0,0.0
404,It may be your only hope.,LOUDER GRUMBLING,1.0,102.txt,"['It', 'may', 'hope']","['It', 'may', 'hope']","['It', 'may', 'hope']",3.0,0.4404
405,And suggest you now may be having second thoughts about this trial!,PICARD,1.0,102.txt,"['And', 'suggest', 'may', 'second', 'thoughts', 'trial']","['And', 'suggest', 'may', 'second', 'thought', 'trial']","['And', 'suggest', 'may', 'second', 'thought', 'trial']",6.0,0.0
406,"You're considering that if you conduct it fairly, which was your promise, you may lose.",PICARD,1.0,102.txt,"['Youre', 'considering', 'conduct', 'fairly', 'promise', 'may', 'lose']","['Your', 'consid', 'conduct', 'fairli', 'promis', 'may', 'lose']","['Your', 'consid', 'conduct', 'fairli', 'promis', 'may', 'lose']",7.0,-0.4019
407,(laughs) Lose?,PICARD,1.0,102.txt,"['laughs', 'Lose']","['laugh', 'Lose']","['laugh', 'Lose']",2.0,0.2263
408,"Yes, even though you're judge, and prosecutor....",PICARD,1.0,102.txt,"['Yes', 'even', 'though', 'youre', 'judge', 'prosecutor']","['Ye', 'even', 'though', 'your', 'judg', 'prosecutor']","['Ye', 'even', 'though', 'your', 'judg', 'prosecutor']",6.0,0.0
409,(nods) And jury (2) (considers it; nods) Accepted...,PICARD,1.0,102.txt,"['nods', 'And', 'jury', '2', 'considers', 'nods', 'Accepted']","['nod', 'And', 'juri', '2', 'consid', 'nod', 'Accept']","['nod', 'And', 'juri', '2', 'consid', 'nod', 'Accept']",7.0,0.3818
410,so long as you keep to your agreement.,PICARD,1.0,102.txt,"['long', 'keep', 'agreement']","['long', 'keep', 'agreement']","['long', 'keep', 'agreement']",3.0,0.4939
411,(indicates Troi and Tasha) And assaulting prisoners is hardly a fair trial Seems to be considering it.,PICARD,1.0,102.txt,"['indicates', 'Troi', 'Tasha', 'And', 'assaulting', 'prisoners', 'hardly', 'fair', 'trial', 'Seems', 'considering']","['indic', 'Troi', 'Tasha', 'And', 'assault', 'prison', 'hardli', 'fair', 'trial', 'Seem', 'consid']","['indic', 'Troi', 'Tasha', 'And', 'assault', 'prison', 'hardli', 'fair', 'trial', 'Seem', 'consid']",11.0,-0.7003
412,"Then he looks downward, indicates.",PICARD,1.0,102.txt,"['Then', 'looks', 'downward', 'indicates']","['Then', 'look', 'downward', 'indic']","['Then', 'look', 'downward', 'indic']",4.0,0.0
413,This is a merciful court.,PICARD,1.0,102.txt,"['This', 'merciful', 'court']","['Thi', 'merci', 'court']","['Thi', 'merci', 'court']",3.0,0.0
414,"waves his hand plays over the two women,",PICARD,1.0,102.txt,"['waves', 'hand', 'plays', 'two', 'women']","['wave', 'hand', 'play', 'two', 'women']","['wave', 'hand', 'play', 'two', 'woman']",5.0,0.6808
415,"The court very disorderly now with some spectators standing on their benches as an annoyed brings his ""bench"" up hovering over the heads of everyone.","ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['The', 'court', 'disorderly', 'spectators', 'standing', 'benches', 'annoyed', 'brings', 'bench', 'hovering', 'heads', 'everyone']","['The', 'court', 'disorderli', 'spectat', 'stand', 'bench', 'annoy', 'bring', 'bench', 'hover', 'head', 'everyon']","['The', 'court', 'disorderli', 'spectat', 'stand', 'bench', 'annoy', 'bring', 'bench', 'hover', 'head', 'everyon']",12.0,-0.4404
416,(greatly,"ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,['greatly'],['greatli'],['greatli'],1.0,0.0
417,The order is so that it comes near to shaking the entire courtroom structure.,"ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['The', 'order', 'comes', 'near', 'shaking', 'entire', 'courtroom', 'structure']","['The', 'order', 'come', 'near', 'shake', 'entir', 'courtroom', 'structur']","['The', 'order', 'come', 'near', 'shake', 'entir', 'courtroom', 'structur']",8.0,-0.1779
418,The spectators bite off their words and sink frightened into their seats.,"ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['The', 'spectators', 'bite', 'words', 'sink', 'frightened', 'seats']","['The', 'spectat', 'bite', 'word', 'sink', 'frighten', 'seat']","['The', 'spectat', 'bite', 'word', 'sink', 'frighten', 'seat']",7.0,-0.34
419,We notice throwing a glance toward Picard to see if the Captain is properly impressed.,"ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['We', 'notice', 'throwing', 'glance', 'toward', 'Picard', 'see', 'Captain', 'properly', 'impressed']","['We', 'notic', 'throw', 'glanc', 'toward', 'Picard', 'see', 'Captain', 'properli', 'impress']","['We', 'notic', 'throw', 'glanc', 'toward', 'Picard', 'see', 'Captain', 'properli', 'impress']",10.0,0.4404
420,"Then the ""bench"" is lowered to allow to face Picard again.","ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['Then', 'bench', 'lowered', 'allow', 'face', 'Picard']","['Then', 'bench', 'lower', 'allow', 'face', 'Picard']","['Then', 'bench', 'lower', 'allow', 'face', 'Picard']",6.0,-0.0772
421,"(continued) Continuing these proceedings, must caution you that legal trickery is not permitted.","ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['continued', 'Continuing', 'proceedings', 'must', 'caution', 'legal', 'trickery', 'permitted']","['continu', 'Continu', 'proceed', 'must', 'caution', 'legal', 'trickeri', 'permit']","['continu', 'Continu', 'proceed', 'must', 'caution', 'legal', 'trickeri', 'permit']",8.0,0.128
422,This is a court of fact (same words; same time) ...,"ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['This', 'court', 'fact', 'words', 'time']","['Thi', 'court', 'fact', 'word', 'time']","['Thi', 'court', 'fact', 'word', 'time']",5.0,0.0
423,court of fact!,"ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['court', 'fact']","['court', 'fact']","['court', 'fact']",2.0,0.0
424,"(nods) We humans know our past, even when we're ashamed of it.","ANOTHER ANGLE ""Q"" (JUDGE) SHOUTING ""Q""",1.0,102.txt,"['nods', 'We', 'humans', 'know', 'past', 'even', 'ashamed']","['nod', 'We', 'human', 'know', 'past', 'even', 'asham']","['nod', 'We', 'human', 'know', 'past', 'even', 'asham']",7.0,0.0
425,"recognize this court system as the one which agreed with Shakespeare's suggestion ""Kill all the lawyers"".",,1.0,102.txt,"['recognize', 'court', 'system', 'one', 'agreed', 'Shakespeares', 'suggestion', 'Kill', 'lawyers']","['recogn', 'court', 'system', 'one', 'agre', 'Shakespear', 'suggest', 'Kill', 'lawyer']","['recogn', 'court', 'system', 'one', 'agre', 'Shakespear', 'suggest', 'Kill', 'lawyer']",9.0,-0.6908
426,(nods) Which humans did.,,1.0,102.txt,"['nods', 'Which', 'humans']","['nod', 'Which', 'human']","['nod', 'Which', 'human']",3.0,0.0
427,"Which led to the rule: ""Guilty until proven innocent"".",PICARD,1.0,102.txt,"['Which', 'led', 'rule', 'Guilty', 'proven', 'innocent']","['Which', 'led', 'rule', 'Guilti', 'proven', 'innoc']","['Which', 'led', 'rule', 'Guilti', 'proven', 'innoc']",6.0,0.0
428,Of course.,PICARD,1.0,102.txt,"['Of', 'course']","['Of', 'cours']","['Of', 'cours']",2.0,0.0
429,Bringing the innocent to trial would be unfair.,PICARD,1.0,102.txt,"['Bringing', 'innocent', 'trial', 'would', 'unfair']","['Bring', 'innoc', 'trial', 'would', 'unfair']","['Bring', 'innoc', 'trial', 'would', 'unfair']",5.0,-0.4767
430,(leaning in; voice amplified),PICARD,1.0,102.txt,"['leaning', 'voice', 'amplified']","['lean', 'voic', 'amplifi']","['lean', 'voic', 'amplifi']",3.0,0.0
431,We'll be happy to answer specific charges.,PICARD,1.0,102.txt,"['Well', 'happy', 'answer', 'specific', 'charges']","['Well', 'happi', 'answer', 'specif', 'charg']","['Well', 'happi', 'answer', 'specif', 'charg']",5.0,0.2732
432,"""Grievous savagery"" could mean anything.",PICARD,1.0,102.txt,"['Grievous', 'savagery', 'could', 'mean', 'anything']","['Grievou', 'savageri', 'could', 'mean', 'anyth']","['Grievou', 'savageri', 'could', 'mean', 'anyth']",5.0,0.0
433,(interrupting) Obviously it means causing harm to fellow creatures!,PICARD,1.0,102.txt,"['interrupting', 'Obviously', 'means', 'causing', 'harm', 'fellow', 'creatures']","['interrupt', 'Obvious', 'mean', 'caus', 'harm', 'fellow', 'creatur']","['interrupt', 'Obvious', 'mean', 'caus', 'harm', 'fellow', 'creatur']",7.0,-0.7096
434,Such as you did when you froze a member of our bridge crew?,PICARD,1.0,102.txt,"['Such', 'froze', 'member', 'bridge', 'crew']","['Such', 'froze', 'member', 'bridg', 'crew']","['Such', 'froze', 'member', 'bridg', 'crew']",5.0,0.0
435,Will you be joining us in the dock here?,PICARD,1.0,102.txt,"['Will', 'joining', 'us', 'dock']","['Will', 'join', 'us', 'dock']","['Will', 'join', 'u', 'dock']",4.0,0.296
436,You fool.,PICARD,1.0,102.txt,"['You', 'fool']","['You', 'fool']","['You', 'fool']",2.0,-0.4404
437,Are you certain you want a full disclosure of human ugliness?,PICARD,1.0,102.txt,"['Are', 'certain', 'want', 'full', 'disclosure', 'human', 'ugliness']","['Are', 'certain', 'want', 'full', 'disclosur', 'human', 'ugli']","['Are', 'certain', 'want', 'full', 'disclosur', 'human', 'ugli']",7.0,0.34
438,(to MandarinBailiff) So be it!,PICARD,1.0,102.txt,"['MandarinBailiff', 'So']","['MandarinBailiff', 'So']","['MandarinBailiff', 'So']",2.0,0.0
439,Present the charges.,PICARD,1.0,102.txt,"['Present', 'charges']","['Present', 'charg']","['Present', 'charg']",2.0,0.0
440,"MandarinBailiff refers to his portable view screen, then steps forward and presents it for Picard's examination (2) Criminal, you will read the charges to the court.",PICARD,1.0,102.txt,"['MandarinBailiff', 'refers', 'portable', 'view', 'screen', 'steps', 'forward', 'presents', 'Picards', 'examination', '2', 'Criminal', 'read', 'charges', 'court']","['MandarinBailiff', 'refer', 'portabl', 'view', 'screen', 'step', 'forward', 'present', 'Picard', 'examin', '2', 'Crimin', 'read', 'charg', 'court']","['MandarinBailiff', 'refer', 'portabl', 'view', 'screen', 'step', 'forward', 'present', 'Picard', 'examin', '2', 'Crimin', 'read', 'charg', 'court']",15.0,0.0
441,"Picard takes the parchment, glances through some amount of it.",PICARD,1.0,102.txt,"['Picard', 'takes', 'parchment', 'glances', 'amount']","['Picard', 'take', 'parchment', 'glanc', 'amount']","['Picard', 'take', 'parchment', 'glanc', 'amount']",5.0,0.0
442,Then he looks up.,PICARD,1.0,102.txt,"['Then', 'looks']","['Then', 'look']","['Then', 'look']",2.0,0.0
443,"see no charges against us, your honor.",PICARD,1.0,102.txt,"['see', 'charges', 'us', 'honor']","['see', 'charg', 'us', 'honor']","['see', 'charg', 'u', 'honor']",4.0,0.4939
444,"(pounds ""bench top"") Criminal, you are out of order!",PICARD,1.0,102.txt,"['pounds', 'bench', 'top', 'Criminal', 'order']","['pound', 'bench', 'top', 'Crimin', 'order']","['pound', 'bench', 'top', 'Crimin', 'order']",5.0,0.2023
445,"Soldiers move in, unslinging automatic weapons, of which the barrels of two of them are now placed against Troi's and Data's heads.",PICARD,1.0,102.txt,"['Soldiers', 'move', 'unslinging', 'automatic', 'weapons', 'barrels', 'two', 'placed', 'Trois', 'Datas', 'heads']","['Soldier', 'move', 'unsling', 'automat', 'weapon', 'barrel', 'two', 'place', 'Troi', 'Data', 'head']","['Soldier', 'move', 'unsling', 'automat', 'weapon', 'barrel', 'two', 'place', 'Troi', 'Data', 'head']",11.0,-0.296
446,,FADE OUT.,1.0,102.txt,[],[],[],0.0,0.0
447,,PART THREE FADE IN:56 INT.,1.0,102.txt,[],[],[],0.0,0.0
448,Action continuing from where it ended.,PART THREE FADE IN:56 INT.,1.0,102.txt,"['Action', 'continuing', 'ended']","['Action', 'continu', 'end']","['Action', 'continu', 'end']",3.0,0.0
449,The gun barrels are now pressing even closer to Troi and Data's heads as: Soldiers...,PART THREE FADE IN:56 INT.,1.0,102.txt,"['The', 'gun', 'barrels', 'pressing', 'even', 'closer', 'Troi', 'Datas', 'heads', 'Soldiers']","['The', 'gun', 'barrel', 'press', 'even', 'closer', 'Troi', 'Data', 'head', 'Soldier']","['The', 'gun', 'barrel', 'press', 'even', 'closer', 'Troi', 'Data', 'head', 'Soldier']",10.0,-0.34
450,(indicates guns) ...,PART THREE FADE IN:56 INT.,1.0,102.txt,"['indicates', 'guns']","['indic', 'gun']","['indic', 'gun']",2.0,-0.34
451,"you will press those triggers if this criminal answers with any word other than ""guilty"".. The Soldiers",PART THREE FADE IN:56 INT.,1.0,102.txt,"['press', 'triggers', 'criminal', 'answers', 'word', 'guilty', 'The', 'Soldiers']","['press', 'trigger', 'crimin', 'answer', 'word', 'guilti', 'The', 'Soldier']","['press', 'trigger', 'crimin', 'answer', 'word', 'guilti', 'The', 'Soldier']",8.0,0.0
452,turns to Picard.,PART THREE FADE IN:56 INT.,1.0,102.txt,"['turns', 'Picard']","['turn', 'Picard']","['turn', 'Picard']",2.0,0.0
453,"Criminal, how plead you?",PART THREE FADE IN:56 INT.,1.0,102.txt,"['Criminal', 'plead']","['Crimin', 'plead']","['Crimin', 'plead']",2.0,0.0
454,"Picard takes his time, looking to his people, the Soldiers holding the guns at their heads, then to",PART THREE FADE IN:56 INT.,1.0,102.txt,"['Picard', 'takes', 'time', 'looking', 'people', 'Soldiers', 'holding', 'guns', 'heads']","['Picard', 'take', 'time', 'look', 'peopl', 'Soldier', 'hold', 'gun', 'head']","['Picard', 'take', 'time', 'look', 'peopl', 'Soldier', 'hold', 'gun', 'head']",9.0,-0.34
455,"He seems to be taking too much time, and one of them shifts his weight, the other begins grasping his weapon even more firmly.",PART THREE FADE IN:56 INT.,1.0,102.txt,"['He', 'seems', 'taking', 'much', 'time', 'one', 'shifts', 'weight', 'begins', 'grasping', 'weapon', 'even', 'firmly']","['He', 'seem', 'take', 'much', 'time', 'one', 'shift', 'weight', 'begin', 'grasp', 'weapon', 'even', 'firmli']","['He', 'seem', 'take', 'much', 'time', 'one', 'shift', 'weight', 'begin', 'grasp', 'weapon', 'even', 'firmli']",13.0,-0.296
456,Then: Guilty...,PART THREE FADE IN:56 INT.,1.0,102.txt,"['Then', 'Guilty']","['Then', 'Guilti']","['Then', 'Guilti']",2.0,0.0
457,"Picard's people can't help but show relief and even the soldiers lighten up their stance and their grip on the weapons, until: (continuing) ...",PART THREE FADE IN:56 INT.,1.0,102.txt,"['Picards', 'people', 'cant', 'help', 'show', 'relief', 'even', 'soldiers', 'lighten', 'stance', 'grip', 'weapons', 'continuing']","['Picard', 'peopl', 'cant', 'help', 'show', 'relief', 'even', 'soldier', 'lighten', 'stanc', 'grip', 'weapon', 'continu']","['Picard', 'peopl', 'cant', 'help', 'show', 'relief', 'even', 'soldier', 'lighten', 'stanc', 'grip', 'weapon', 'continu']",13.0,-0.7195
458,provisionally so.,PART THREE FADE IN:56 INT.,1.0,102.txt,['provisionally'],['provision'],['provision'],1.0,0.0
459,"Surprised by this ""add on"", the Soldiers begin bringing their guns in close again, looking for guidance to who looks like he could decide either way.",PART THREE FADE IN:56 INT.,1.0,102.txt,"['Surprised', 'add', 'Soldiers', 'begin', 'bringing', 'guns', 'close', 'looking', 'guidance', 'looks', 'like', 'could', 'decide', 'either', 'way']","['Surpris', 'add', 'Soldier', 'begin', 'bring', 'gun', 'close', 'look', 'guidanc', 'look', 'like', 'could', 'decid', 'either', 'way']","['Surpris', 'add', 'Soldier', 'begin', 'bring', 'gun', 'close', 'look', 'guidanc', 'look', 'like', 'could', 'decid', 'either', 'way']",15.0,0.0258
460,After considering it for a moment: The Court will hear the provision We question whether this court is abiding by its own trial instructions.,PART THREE FADE IN:56 INT.,1.0,102.txt,"['After', 'considering', 'moment', 'The', 'Court', 'hear', 'provision', 'We', 'question', 'whether', 'court', 'abiding', 'trial', 'instructions']","['After', 'consid', 'moment', 'The', 'Court', 'hear', 'provis', 'We', 'question', 'whether', 'court', 'abid', 'trial', 'instruct']","['After', 'consid', 'moment', 'The', 'Court', 'hear', 'provis', 'We', 'question', 'whether', 'court', 'abid', 'trial', 'instruct']",14.0,0.0
461,Do have permission to have Commander Data repeat the record?,PART THREE FADE IN:56 INT.,1.0,102.txt,"['Do', 'permission', 'Commander', 'Data', 'repeat', 'record']","['Do', 'permiss', 'Command', 'Data', 'repeat', 'record']","['Do', 'permiss', 'Command', 'Data', 'repeat', 'record']",6.0,0.0
462,If this is legal trickery...,PART THREE FADE IN:56 INT.,1.0,102.txt,"['If', 'legal', 'trickery']","['If', 'legal', 'trickeri']","['If', 'legal', 'trickeri']",3.0,0.128
463,"Your own words, your Honor.",PICARD,1.0,102.txt,"['Your', 'words', 'Honor']","['Your', 'word', 'Honor']","['Your', 'word', 'Honor']",3.0,0.4939
464,"(to Data) Exactly what followed his Honor's statement that the prisoner would not be harmed Taking a moment to consult his memory, then: Yes, sir.",PICARD,1.0,102.txt,"['Data', 'Exactly', 'followed', 'Honors', 'statement', 'prisoner', 'would', 'harmed', 'Taking', 'moment', 'consult', 'memory', 'Yes', 'sir']","['Data', 'Exactli', 'follow', 'Honor', 'statement', 'prison', 'would', 'harm', 'Take', 'moment', 'consult', 'memori', 'Ye', 'sir']","['Data', 'Exactli', 'follow', 'Honor', 'statement', 'prison', 'would', 'harm', 'Take', 'moment', 'consult', 'memori', 'Ye', 'sir']",14.0,-0.5574
465,The Captain has asked the question...,PICARD,1.0,102.txt,"['The', 'Captain', 'asked', 'question']","['The', 'Captain', 'ask', 'question']","['The', 'Captain', 'ask', 'question']",4.0,0.0
466,"(in Picard's ""Can we assume this will be a fair trial?"" (in Data And in reply, the judge stated.. as Data goes on.",PICARD,1.0,102.txt,"['Picards', 'Can', 'assume', 'fair', 'trial', 'Data', 'And', 'reply', 'judge', 'stated', 'Data', 'goes']","['Picard', 'Can', 'assum', 'fair', 'trial', 'Data', 'And', 'repli', 'judg', 'state', 'Data', 'goe']","['Picard', 'Can', 'assum', 'fair', 'trial', 'Data', 'And', 'repli', 'judg', 'state', 'Data', 'goe']",12.0,0.3182
467,"(continuing in ""Q""'s ""Yes, absolutely equitable."" Unacceptable testimony, entirely unacceptable...","DATA VOICE) ""Q"" (JUDGE)",1.0,102.txt,"['continuing', 'Qs', 'Yes', 'absolutely', 'equitable', 'Unacceptable', 'testimony', 'entirely', 'unacceptable']","['continu', 'Qs', 'Ye', 'absolut', 'equit', 'Unaccept', 'testimoni', 'entir', 'unaccept']","['continu', 'Qs', 'Ye', 'absolut', 'equit', 'Unaccept', 'testimoni', 'entir', 'unaccept']",9.0,0.0
468," If your Honor pleases, there is a simple way to clear up this disagreement.","DATA VOICE) ""Q"" (JUDGE)",1.0,102.txt,"['If', 'Honor', 'pleases', 'simple', 'way', 'clear', 'disagreement']","['If', 'Honor', 'pleas', 'simpl', 'way', 'clear', 'disagr']","['If', 'Honor', 'plea', 'simpl', 'way', 'clear', 'disagr']",7.0,0.7003
469,"(waits until he has ""Q""'s attention) We agree there is evidence to support the court's contention that humans have been murderous and dangerous.","DATA VOICE) ""Q"" (JUDGE)",1.0,102.txt,"['waits', 'Qs', 'attention', 'We', 'agree', 'evidence', 'support', 'courts', 'contention', 'humans', 'murderous', 'dangerous']","['wait', 'Qs', 'attent', 'We', 'agre', 'evid', 'support', 'court', 'content', 'human', 'murder', 'danger']","['wait', 'Qs', 'attent', 'We', 'agre', 'evid', 'support', 'court', 'content', 'human', 'murder', 'danger']",12.0,-0.7506
470,"(moves in closer to say ""have been"" ...","DATA VOICE) ""Q"" (JUDGE)",1.0,102.txt,"['moves', 'closer', 'say']","['move', 'closer', 'say']","['move', 'closer', 'say']",3.0,0.0
471,and therefore we will respectfully submit to a test of whether this is presently true of humans.,"DATA VOICE) ""Q"" (JUDGE)",1.0,102.txt,"['therefore', 'respectfully', 'submit', 'test', 'whether', 'presently', 'true', 'humans']","['therefor', 'respect', 'submit', 'test', 'whether', 'present', 'true', 'human']","['therefor', 'respect', 'submit', 'test', 'whether', 'present', 'true', 'human']",8.0,0.7096
472,"(suddenly alert) see, see.","DATA VOICE) ""Q"" (JUDGE)",1.0,102.txt,"['suddenly', 'alert', 'see', 'see']","['suddenli', 'alert', 'see', 'see']","['suddenli', 'alert', 'see', 'see']",4.0,0.296
473,(an idea forming) And you petition the Court to accept you and your comrades as proof of what humanity has become.,"DATA VOICE) ""Q"" (JUDGE)",1.0,102.txt,"['idea', 'forming', 'And', 'petition', 'Court', 'accept', 'comrades', 'proof', 'humanity', 'become']","['idea', 'form', 'And', 'petit', 'Court', 'accept', 'comrad', 'proof', 'human', 'becom']","['idea', 'form', 'And', 'petit', 'Court', 'accept', 'comrad', 'proof', 'human', 'becom']",10.0,0.3818
474,There should be many ways we can be tested.,PICARD,1.0,102.txt,"['There', 'many', 'ways', 'tested']","['There', 'mani', 'way', 'test']","['There', 'mani', 'way', 'test']",4.0,0.0
475,We have a long mission ahead of us...,PICARD,1.0,102.txt,"['We', 'long', 'mission', 'ahead', 'us']","['We', 'long', 'mission', 'ahead', 'us']","['We', 'long', 'mission', 'ahead', 'u']",5.0,0.0
476,"Another brilliant suggestion, Captain.",PICARD,1.0,102.txt,"['Another', 'brilliant', 'suggestion', 'Captain']","['Anoth', 'brilliant', 'suggest', 'Captain']","['Anoth', 'brilliant', 'suggest', 'Captain']",4.0,0.5859
477,But your test hardly requires a 'long mission'.,PICARD,1.0,102.txt,"['But', 'test', 'hardly', 'requires', 'long', 'mission']","['But', 'test', 'hardli', 'requir', 'long', 'mission']","['But', 'test', 'hardli', 'requir', 'long', 'mission']",6.0,0.0
478,(laughs) Your immediate destination offers more challenge than you can possibly imagine.,PICARD,1.0,102.txt,"['laughs', 'Your', 'immediate', 'destination', 'offers', 'challenge', 'possibly', 'imagine']","['laugh', 'Your', 'immedi', 'destin', 'offer', 'challeng', 'possibl', 'imagin']","['laugh', 'Your', 'immedi', 'destin', 'offer', 'challeng', 'possibl', 'imagin']",8.0,0.5574
479,"Yes, yes, this Farpoint station will be an excellent test of human worth.",PICARD,1.0,102.txt,"['Yes', 'yes', 'Farpoint', 'station', 'excellent', 'test', 'human', 'worth']","['Ye', 'ye', 'Farpoint', 'station', 'excel', 'test', 'human', 'worth']","['Ye', 'ye', 'Farpoint', 'station', 'excel', 'test', 'human', 'worth']",8.0,0.5994
480,"Picard, like the others, is now becoming just a bit concerned.",PICARD,1.0,102.txt,"['Picard', 'like', 'others', 'becoming', 'bit', 'concerned']","['Picard', 'like', 'other', 'becom', 'bit', 'concern']","['Picard', 'like', 'other', 'becom', 'bit', 'concern']",6.0,0.3612
481,"What does lie ahead of them on Farpoint Station with nodding to him as the Bailiff stands, raising his voice.",PICARD,1.0,102.txt,"['What', 'lie', 'ahead', 'Farpoint', 'Station', 'nodding', 'Bailiff', 'stands', 'raising', 'voice']","['What', 'lie', 'ahead', 'Farpoint', 'Station', 'nod', 'Bailiff', 'stand', 'rais', 'voic']","['What', 'lie', 'ahead', 'Farpoint', 'Station', 'nod', 'Bailiff', 'stand', 'rais', 'voic']",10.0,0.0
482,Stand respectfully.,MANDARINBAILIFF,1.0,102.txt,"['Stand', 'respectfully']","['Stand', 'respect']","['Stand', 'respect']",2.0,0.4767
483,"All present, respectfully stand Spectators standing.",MANDARINBAILIFF,1.0,102.txt,"['All', 'present', 'respectfully', 'stand', 'Spectators', 'standing']","['All', 'present', 'respect', 'stand', 'Spectat', 'stand']","['All', 'present', 'respect', 'stand', 'Spectat', 'stand']",6.0,0.4767
